datetime	Japan_count	Foreign_count
2016-07-13	5	1
2016-07-14	6	1
2016-07-15	8	0
2016-07-16	44	2
2016-07-17	54	4
2016-07-18	47	3
2016-07-19	7	1
2016-07-20	6	0
2016-07-21	8	1
2016-07-22	12	1
2016-07-23	43	1
2016-07-24	60	1
2016-07-25	24	1
2016-07-26	4	1
2016-07-27	12	1
2016-07-28	25	0
2016-07-29	14	0
2016-07-30	54	1
2016-07-31	66	1
2016-08-01	22	1
2016-08-02	10	3
2016-08-03	27	3
2016-08-04	54	2
2016-08-05	32	0
2016-08-06	89	0
2016-08-07	74	0
2016-08-08	28	0
2016-08-09	33	1
2016-08-10	46	2
2016-08-11	56	0
2016-08-12	70	2
2016-08-13	74	5
2016-08-14	75	4
2016-08-15	82	3
2016-08-16	50	2
2016-08-17	27	1
2016-08-18	19	0
2016-08-19	34	1
2016-08-20	34	0
2016-08-21	32	1
2016-08-22	9	1
2016-08-23	23	5
2016-08-24	27	4
2016-08-25	21	0
2016-08-26	19	0
2016-08-27	46	0
2016-08-28	43	2
2016-08-29	20	0
2016-08-30	6	0
2016-08-31	28	4
2016-09-01	10	1
2016-09-02	35	0
2016-09-03	62	0
2016-09-04	44	0
2016-09-05	23	4
2016-09-06	10	3
2016-09-07	21	0
2016-09-08	13	3
2016-09-09	13	5
2016-09-10	44	3
2016-09-11	27	0
2016-09-12	17	0
2016-09-13	12	1
2016-09-14	4	2
2016-09-15	17	4
2016-09-16	17	5
2016-09-17	43	3
2016-09-18	51	1
2016-09-19	32	1
2016-09-20	21	0
2016-09-21	25	0
2016-09-22	8	1
2016-09-23	22	5
2016-09-24	24	2
2016-09-25	22	0
2016-09-26	8	1
2016-09-27	15	2
2016-09-28	5	2
2016-09-29	2	1
2016-09-30	9	2
2016-10-01	30	1
2016-10-02	45	2
2016-10-03	13	8
2016-10-04	19	1
2016-10-05	13	1
2016-10-06	12	5
2016-10-07	23	3
2016-10-08	23	2
2016-10-09	35	7
2016-10-10	61	3
2016-10-11	9	4
2016-10-12	14	3
2016-10-13	12	0
2016-10-14	37	2
2016-10-15	70	7
2016-10-16	75	2
2016-10-17	9	3
2016-10-18	11	8
2016-10-19	33	2
2016-10-20	24	3
2016-10-21	45	6
2016-10-22	57	7
2016-10-23	71	2
2016-10-24	36	1
2016-10-25	16	7
2016-10-26	19	2
2016-10-27	19	0
2016-10-28	26	4
2016-10-29	29	20
2016-10-30	57	10
2016-10-31	31	2
2016-11-01	13	7
2016-11-02	29	8
2016-11-03	53	5
2016-11-04	63	5
2016-11-05	73	6
2016-11-06	70	13
2016-11-07	34	8
2016-11-08	16	3
2016-11-09	26	2
2016-11-10	9	3
2016-11-11	11	0
2016-11-12	53	2
2016-11-13	56	5
2016-11-14	35	0
2016-11-15	14	5
2016-11-16	16	2
2016-11-17	23	3
2016-11-18	31	3
2016-11-19	36	2
2016-11-20	43	1
2016-11-21	21	9
2016-11-22	14	4
2016-11-23	18	2
2016-11-24	7	2
2016-11-25	6	2
2016-11-26	29	2
2016-11-27	8	2
2016-11-28	11	8
2016-11-29	10	0
2016-11-30	4	1
2016-12-01	7	3
2016-12-02	14	14
2016-12-03	37	1
2016-12-04	50	1
2016-12-05	13	3
2016-12-06	18	7
2016-12-07	3	5
2016-12-08	11	3
2016-12-09	19	2
2016-12-10	22	1
2016-12-11	30	4
2016-12-12	14	1
2016-12-13	27	3
2016-12-14	11	2
2016-12-15	18	1
2016-12-16	9	0
2016-12-17	29	2
2016-12-18	35	2
2016-12-19	7	1
2016-12-20	6	1
2016-12-21	15	2
2016-12-22	8	6
2016-12-23	29	1
2016-12-24	31	2
2016-12-25	33	5
2016-12-26	16	2
2016-12-27	25	2
2016-12-28	14	4
2016-12-29	43	3
2016-12-30	46	7
2016-12-31	19	2
2017-01-01	47	3
2017-01-02	39	0
2017-01-03	43	3
2017-01-04	29	2
2017-01-05	25	1
2017-01-06	27	0
2017-01-07	37	0
2017-01-08	32	0
2017-01-09	29	1
2017-01-10	21	4
2017-01-11	7	3
2017-01-12	14	1
2017-01-13	12	1
2017-01-14	33	0
2017-01-15	37	2
2017-01-16	9	0
2017-01-17	4	0
2017-01-18	2	4
2017-01-19	19	4
2017-01-20	15	1
2017-01-21	20	2
2017-01-22	29	0
2017-01-23	12	0
2017-01-24	2	2
2017-01-25	6	1
2017-01-26	12	2
2017-01-27	4	3
2017-01-28	57	2
2017-01-29	44	3
2017-01-30	9	6
2017-01-31	19	17
2017-02-01	21	11
2017-02-02	10	0
2017-02-03	15	4
2017-02-04	67	4
2017-02-05	55	1
2017-02-06	10	0
2017-02-07	10	8
2017-02-08	30	2
2017-02-09	14	1
2017-02-10	13	1
2017-02-11	43	0
2017-02-12	64	1
2017-02-13	22	1
2017-02-14	18	0
2017-02-15	21	0
2017-02-16	21	0
2017-02-17	21	2
2017-02-18	40	0
2017-02-19	50	1
2017-02-20	31	3
2017-02-21	25	2
2017-02-22	21	0
2017-02-23	15	3
2017-02-24	19	0
2017-02-25	49	2
2017-02-26	67	3
2017-02-27	27	0
2017-02-28	20	5
2017-03-01	11	2
2017-03-02	15	3
2017-03-03	13	0
2017-03-04	47	1
2017-03-05	55	4
2017-03-06	29	1
2017-03-07	45	2
2017-03-08	18	3
2017-03-09	15	2
2017-03-10	14	0
2017-03-11	69	1
2017-03-12	79	3
2017-03-13	15	1
2017-03-14	24	0
2017-03-15	10	1
2017-03-16	19	4
2017-03-17	23	12
2017-03-18	60	0
2017-03-19	92	1
2017-03-20	72	1
2017-03-21	41	1
2017-03-22	33	0
2017-03-23	28	2
2017-03-24	20	0
2017-03-25	46	1
2017-03-26	46	1
2017-03-27	23	0
2017-03-28	36	0
2017-03-29	34	2
2017-03-30	35	1
2017-03-31	30	0
2017-04-01	47	2
2017-04-02	65	1
2017-04-03	10	2
2017-04-04	22	1
2017-04-05	14	0
2017-04-06	16	2
2017-04-07	8	0
2017-04-08	24	0
2017-04-09	65	1
2017-04-10	18	2
2017-04-11	3	1
2017-04-12	11	4
2017-04-13	5	3
2017-04-14	21	2
2017-04-15	50	2
2017-04-16	75	1
2017-04-17	27	20
2017-04-18	31	5
2017-04-19	43	2
2017-04-20	25	2
2017-04-21	15	4
2017-04-22	54	0
2017-04-23	37	4
2017-04-24	37	4
2017-04-25	12	2
2017-04-26	11	8
2017-04-27	8	2
2017-04-28	22	0
2017-04-29	37	0
2017-04-30	74	0
2017-05-01	47	0
2017-05-02	75	2
2017-05-03	103	0
2017-05-04	98	0
2017-05-05	87	0
2017-05-06	99	5
2017-05-07	36	0
2017-05-08	17	1
2017-05-09	10	1
2017-05-10	20	1
2017-05-11	0	1
2017-05-12	11	3
2017-05-13	52	0
2017-05-14	60	0
2017-05-15	20	0
2017-05-16	9	0
2017-05-17	21	3
2017-05-18	18	4
2017-05-19	16	1
2017-05-20	31	2
2017-05-21	56	3
2017-05-22	18	0
2017-05-23	18	3
2017-05-24	24	3
2017-05-25	14	0
2017-05-26	11	0
2017-05-27	59	2
2017-05-28	55	2
2017-05-29	12	0
2017-05-30	12	0
2017-05-31	11	0
2017-06-01	6	0
2017-06-02	27	0
2017-06-03	82	1
2017-06-04	75	0
2017-06-05	33	0
2017-06-06	10	0
2017-06-07	14	0
2017-06-08	0	1
2017-06-09	16	0
2017-06-10	87	0
2017-06-11	103	2
2017-06-12	27	1
2017-06-13	7	0
2017-06-14	18	0
2017-06-15	11	3
2017-06-16	25	0
2017-06-17	88	0
2017-06-18	46	0
2017-06-19	24	0
2017-06-20	22	0
2017-06-21	6	0
2017-06-22	15	0
2017-06-23	14	1
2017-06-24	72	4
2017-06-25	75	0
2017-06-26	21	0
2017-06-27	10	1
2017-06-28	7	0
2017-06-29	15	0
2017-06-30	11	2
2017-07-01	39	1
2017-07-02	46	0
2017-07-03	20	1
2017-07-04	1	0
2017-07-05	8	0
2017-07-06	4	2
2017-07-07	18	1
2017-07-08	80	0
2017-07-09	70	4
2017-07-10	15	2
2017-07-11	26	4
2017-07-12	10	0
2017-07-13	4	0
2017-07-14	23	0
2017-07-15	106	1
2017-07-16	108	1
2017-07-17	51	3
2017-07-18	23	1
2017-07-19	27	0
2017-07-20	32	0
2017-07-21	24	0
2017-07-22	52	0
2017-07-23	33	1
2017-07-24	10	0
2017-07-25	21	0
2017-07-26	19	0
2017-07-27	8	0
2017-07-28	31	0
2017-07-29	52	0
2017-07-30	28	0
2017-07-31	27	0
2017-08-01	18	0
2017-08-02	34	0
2017-08-03	58	0
2017-08-04	37	2
2017-08-05	77	0
2017-08-06	73	0
2017-08-07	33	0
2017-08-08	14	0
2017-08-09	36	0
2017-08-10	42	0
2017-08-11	53	0
2017-08-12	85	0
2017-08-13	68	5
2017-08-14	40	0
2017-08-15	55	0
2017-08-16	40	3
2017-08-17	48	0
2017-08-18	36	0
2017-08-19	43	1
2017-08-20	67	4
2017-08-21	18	2
2017-08-22	39	5
2017-08-23	31	0
2017-08-24	52	0
2017-08-25	37	0
2017-08-26	76	2
2017-08-27	74	0
2017-08-28	41	0
2017-08-29	42	3
2017-08-30	20	1
2017-08-31	32	0
2017-09-01	19	1
2017-09-02	113	1
2017-09-03	122	2
2017-09-04	48	0
2017-09-05	36	1
2017-09-06	34	2
2017-09-07	24	6
2017-09-08	46	12
2017-09-09	105	1
2017-09-10	95	5
2017-09-11	30	0
2017-09-12	42	2
2017-09-13	60	3
2017-09-14	55	3
2017-09-15	32	3
2017-09-16	110	0
2017-09-17	58	0
2017-09-18	106	8
2017-09-19	68	1
2017-09-20	48	10
2017-09-21	76	2
2017-09-22	46	4
2017-09-23	98	1
2017-09-24	73	0
2017-09-25	9	0
2017-09-26	11	1
2017-09-27	15	1
2017-09-28	26	1
2017-09-29	38	2
2017-09-30	225	2
2017-10-01	116	3
2017-10-02	18	13
2017-10-03	19	7
2017-10-04	26	1
2017-10-05	17	1
2017-10-06	15	10
2017-10-07	72	6
2017-10-08	164	2
2017-10-09	81	22
2017-10-10	24	7
2017-10-11	25	7
2017-10-12	40	3
2017-10-13	37	2
2017-10-14	81	6
2017-10-15	55	3
2017-10-16	16	7
2017-10-17	46	8
2017-10-18	38	10
2017-10-19	13	4
2017-10-20	19	4
2017-10-21	81	7
2017-10-22	50	3
2017-10-23	27	5
2017-10-24	39	0
2017-10-25	21	7
2017-10-26	48	1
2017-10-27	68	10
2017-10-28	66	9
2017-10-29	39	5
2017-10-30	38	5
2017-10-31	65	8
2017-11-01	58	7
2017-11-02	43	4
2017-11-03	108	3
2017-11-04	113	0
2017-11-05	60	14
2017-11-06	29	4
2017-11-07	21	7
2017-11-08	23	9
2017-11-09	22	2
2017-11-10	23	8
2017-11-11	54	5
2017-11-12	102	9
2017-11-13	30	2
2017-11-14	13	1
2017-11-15	10	3
2017-11-16	26	5
2017-11-17	37	2
2017-11-18	73	8
2017-11-19	61	9
2017-11-20	24	5
2017-11-21	17	4
2017-11-22	18	0
2017-11-23	48	3
2017-11-24	52	5
2017-11-25	48	3
2017-11-26	66	4
2017-11-27	11	5
2017-11-28	11	9
2017-11-29	21	1
2017-11-30	22	10
2017-12-01	14	3
2017-12-02	77	0
2017-12-03	76	1
2017-12-04	18	3
2017-12-05	9	1
2017-12-06	9	1
2017-12-07	11	0
2017-12-08	19	0
2017-12-09	56	1
2017-12-10	70	3
2017-12-11	32	0
2017-12-12	9	5
2017-12-13	5	1
2017-12-14	4	1
2017-12-15	13	3
2017-12-16	80	0
2017-12-17	39	5
2017-12-18	25	2
2017-12-19	10	2
2017-12-20	10	1
2017-12-21	5	1
2017-12-22	42	4
2017-12-23	87	2
2017-12-24	46	5
2017-12-25	14	3
2017-12-26	16	1
2017-12-27	19	2
2017-12-28	22	4
2017-12-29	45	4
2017-12-30	29	0
