年月日	地点	平均気温(℃)	最高気温(℃)	最低気温(℃)	降水量の合計(mm)	10分間降水量の最大(mm)	日照時間(時間)	合計全天日射量(MJ/㎡)	最深積雪(cm)	降雪量合計(cm)	平均風速(m/s)	最大風速(m/s)	最大瞬間風速(m/s)	最多風向(16方位)	平均蒸気圧(hPa)	平均現地気圧(hPa)	平均湿度(%)	平均海面気圧(hPa)	最小相対湿度(%)	最低海面気圧(hPa)	平均雲量(10分比)	天気概況(昼:06時~18時)	天気概況(夜:18時~翌日06時)
2015/3/10	十和田	3.5	7.2	-1.6	14.0	1.0	0.3		0.0	0.0	4.5	11.0	21.0	西南西									
2015/3/11	十和田	-2.1	-0.1	-3.4	0.0	0.0	1.0		0.0	0.0	6.5	10.8	21.2	西南西									
2015/3/12	十和田	-0.7	1.8	-2.8	0.0	0.0	8.1		0.0	0.0	5.5	10.4	18.6	西南西									
2015/3/13	十和田	0.9	4.8	-2.5	0.0	0.0	7.8		0.0	0.0	3.9	8.3	14.6	西									
2015/3/14	十和田	1.3	6.6	-3.2	0.0	0.0	7.8		0.0	0.0	2.4	6.4	10.4	西南西									
2015/3/15	十和田	2.4	8.9	-2.8	0.0	0.0	7.6		0.0	0.0	2.3	6.4	11.0	西南西									
2015/3/16	十和田	3.9	12.3	-2.5	0.0	0.0	10.1		0.0	0.0	1.7	5.6	8.1	東									
2015/3/17	十和田	7.1	15.6	-2.8	0.0	0.0	9.1		0.0	0.0	2.3	6.6	10.5	西南西									
2015/3/18	十和田	6.6	11.9	2.3	0.0	0.0	9.2		0.0	0.0	2.3	6.2	8.3	東北東									
2015/3/19	十和田	3.9	6.3	2.2	1.5	0.5	0.0		0.0	0.0	1.3	4.2	5.5	北北東									
2015/3/20	十和田	4.7	11.4	1.2	0.5	0.5	1.1		0.0	0.0	1.6	6.2	7.9	東									
2015/3/21	十和田	5.2	12.2	-2.1	0.0	0.0	9.5		0.0	0.0	2.1	5.0	9.2	西南西									
2015/3/22	十和田	5.3	14.2	-2.4	5.0	1.5	7.7		0.0	0.0	2.2	5.9	9.9	西南西									
2015/3/23	十和田	0.4	4.6	-3.4	0.0	0.0	7.1		0.0	0.0	3.3	8.1	14.8	南西									
2015/3/24	十和田	1.6	6.6	-4.8	0.0	0.0	3.8		0.0	0.0	5.6	12.1	18.8	西									
2015/3/25	十和田	3.9	7.8	0.9	0.0	0.0	4.4		0.0	0.0	5.4	9.3	15.2	西北西									
2015/3/26	十和田	5.6	10.3	0.0	0.0	0.0	11.7		0.0	0.0	5.0	8.9	15.6	西南西									
2015/3/27	十和田	10.3	14.9	7.0	0.0	0.0	8.2		0.0	0.0	7.7	10.8	19.7	西南西									
2015/3/28	十和田	11.5	17.3	7.4	0.0	0.0	9.0		0.0	0.0	4.2	7.8	15.5	西南西									
2015/3/29	十和田	11.4	18.1	3.3	0.0	0.0	5.0		0.0	0.0	2.8	8.1	13.1	西南西									
2015/3/30	十和田	7.2	14.4	-0.9	0.0	0.0	7.4		0.0	0.0	1.8	5.4	9.7	西南西									
2015/3/31	十和田	10.4	18.4	-1.5	0.0	0.0	7.5		0.0	0.0	3.1	7.6	13.1	南西									
2015/4/1	十和田	5.2	11.7	-0.4	8.5	0.5	0.0		0.0	0.0	1.5	5.7	10.7	東									
2015/4/2	十和田	5.9	13.4	-2.0	0.0	0.0	10.6		0.0	0.0	1.4	4.1	8.5	南西									
2015/4/3	十和田	10.1	16.8	4.1	7.5	1.0	0.8		0.0	0.0	4.2	11.0	19.7	南									
2015/4/4	十和田	6.8	13.2	0.9	0.0	0.0	11.5		0.0	0.0	2.7	9.4	16.4	東									
2015/4/5	十和田	5.5	7.7	1.0	5.0	0.5	0.0		0.0	0.0	1.2	4.1	7.5	南南西									
2015/4/6	十和田	9.5	13.3	5.6	0.5	0.5	3.1		0.0	0.0	3.6	8.2	14.7	西南西									
2015/4/7	十和田	4.0	8.0	0.2	0.0	0.0	4.1		0.0	0.0	5.4	9.4	13.1	西北西									
2015/4/8	十和田	1.5	6.2	-2.8	0.0	0.0	2.5		0.0	0.0	2.1	4.6	7.4	西									
2015/4/9	十和田	1.2	7.4	-4.5	0.0	0.0	11.1		0.0	0.0	2.4	6.9	11.2	東									
2015/4/10	十和田	6.2	13.6	-5.9	0.0	0.0	8.0		0.0	0.0	1.6	4.6	7.1	南									
2015/4/11	十和田	7.9	10.5	3.6	7.5	0.5	0.0		0.0	0.0	1.3	4.4	5.6	北東									
2015/4/12	十和田	6.7	15.4	0.0	0.0	0.0	11.8		0.0	0.0	1.4	4.5	7.5	南西									
2015/4/13	十和田	5.0	9.4	0.0	0.0	0.0	4.0		0.0	0.0	1.7	4.7	9.2	東									
2015/4/14	十和田	9.8	16.1	4.7	0.0	0.0	2.5		0.0	0.0	1.4	4.1	6.6	東北東									
2015/4/15	十和田	9.0	13.7	7.1	21.5	1.5	0.3		0.0	0.0	2.1	7.5	10.2	南南西									
2015/4/16	十和田	10.2	15.1	3.3	0.0	0.0	6.7		0.0	0.0	3.3	8.1	12.9	西南西									
2015/4/17	十和田	6.8	9.6	2.8	0.0	0.0	0.4		0.0	0.0	2.0	6.7	12.2	西南西									
2015/4/18	十和田	8.6	13.5	2.0	2.5	2.0	7.2		0.0	0.0	3.6	8.7	15.0	西南西									
2015/4/19	十和田	9.8	15.8	1.3	0.0	0.0	10.1		0.0	0.0	3.7	9.1	13.6	北西									
2015/4/20	十和田	7.4	10.0	4.8	10.0	0.5	0.0		0.0	0.0	0.8	2.7	5.6	南西									
2015/4/21	十和田	11.3	16.4	5.6	0.5	0.5	9.1		0.0	0.0	4.9	9.2	18.0	西南西									
2015/4/22	十和田	12.4	20.5	3.0	0.0	0.0	7.5		0.0	0.0	2.7	6.1	10.8	西南西									
2015/4/23	十和田	7.5	15.9	2.2	0.0	0.0	7.8		0.0	0.0	1.2	3.9	5.9	西									
2015/4/24	十和田	12.8	22.4	2.2	0.0	0.0	5.0		0.0	0.0	3.2	9.7	19.7	南西									
2015/4/25	十和田	11.7	18.3	3.5	0.0	0.0	9.8		0.0	0.0	3.2	8.7	15.1	西南西									
2015/4/26	十和田	15.4	21.7	6.8	0.0	0.0	12.8		0.0	0.0	3.5	7.6	13.2	西南西									
2015/4/27	十和田	20.0	26.1	12.6	0.0	0.0	11.4		0.0	0.0	3.6	9.3	15.8	南西									
2015/4/28	十和田	18.3	27.0	6.4	0.0	0.0	12.1		0.0	0.0	3.2	7.1	13.7	南西									
2015/4/29	十和田	10.0	16.9	6.4	0.0	0.0	7.7		0.0	0.0	1.6	3.9	5.9	東									
2015/4/30	十和田	12.8	22.0	5.5	0.0	0.0	9.2		0.0	0.0	1.5	4.4	7.4	東									
2015/5/1	十和田	17.3	27.2	5.3	0.0	0.0	11.3		0.0	0.0	2.4	6.2	11.0	南西									
2015/5/2	十和田	13.2	21.7	6.5	0.0	0.0	12.0		0.0	0.0	1.7	5.0	7.6	東									
2015/5/3	十和田	12.5	20.5	5.4	0.0	0.0	6.1		0.0	0.0	1.4	3.8	7.4	東									
2015/5/4	十和田	17.2	27.2	6.2	0.0	0.0	7.9		0.0	0.0	2.0	6.3	11.4	東北東									
2015/5/5	十和田	14.1	20.2	5.9	0.0	0.0	8.2		0.0	0.0	4.4	11.0	17.6	西南西									
2015/5/6	十和田	15.8	24.1	3.9	0.0	0.0	10.6		0.0	0.0	2.7	6.9	11.7	南									
2015/5/7	十和田	15.4	23.0	3.6	0.0	0.0	10.2		0.0	0.0	2.7	6.3	11.7	西南西									
2015/5/8	十和田	14.1	24.1	2.6	0.0	0.0	9.6		0.0	0.0	2.6	7.9	13.9	南西									
2015/5/9	十和田	12.5	18.5	5.1	0.0	0.0	10.7		0.0	0.0	2.0	4.7	8.3	東北東									
2015/5/10	十和田	10.0	13.9	6.9	11.0	2.0	5.8		0.0	0.0	4.8	9.3	15.4	西北西									
2015/5/11	十和田	14.5	22.4	6.6	0.0	0.0	12.7		0.0	0.0	3.9	8.7	14.2	西南西									
2015/5/12	十和田	11.5	19.4	5.3	13.0	1.5	1.3		0.0	0.0	1.2	3.3	5.0	東									
2015/5/13	十和田	15.4	18.5	11.1	2.0	0.5	4.7		0.0	0.0	3.6	8.9	17.6	南西									
2015/5/14	十和田	16.9	22.0	10.4	0.0	0.0	10.7		0.0	0.0	4.2	8.1	15.7	西南西									
2015/5/15	十和田	11.2	13.5	9.2	6.5	2.0	0.0		0.0	0.0	1.7	4.4	7.0	東北東									
2015/5/16	十和田	14.2	21.2	9.8	2.5	1.0	7.9		0.0	0.0	2.3	9.3	12.8	南南西									
2015/5/17	十和田	13.9	19.0	6.8	0.0	0.0	12.4		0.0	0.0	5.0	10.1	17.7	西									
2015/5/18	十和田	14.1	22.5	4.3	0.0	0.0	10.8		0.0	0.0	1.8	4.6	7.4	北東									
2015/5/19	十和田	13.7	18.9	11.0	7.0	1.0	0.0		0.0	0.0	2.2	6.0	11.1	東南東									
2015/5/20	十和田	15.0	24.0	9.2	0.0	0.0	4.9		0.0	0.0	2.1	5.9	8.6	南									
2015/5/21	十和田	13.4	18.5	9.8	0.0	0.0	4.6		0.0	0.0	3.9	9.3	13.4	西北西									
2015/5/22	十和田	17.4	22.7	9.3	0.0	0.0	11.1		0.0	0.0	4.4	9.1	18.2	南西									
2015/5/23	十和田	20.8	26.4	15.1	0.0	0.0	13.8		0.0	0.0	5.4	8.6	16.8	西南西									
2015/5/24	十和田	20.7	28.2	11.4	0.0	0.0	13.7		0.0	0.0	3.6	8.1	13.9	南西									
2015/5/25	十和田	13.7	19.6	7.9	0.0	0.0	13.4		0.0	0.0	1.9	4.9	7.1	北東									
2015/5/26	十和田	16.7	25.4	9.1	0.0	0.0	10.1		0.0	0.0	1.7	4.1	6.4	東									
2015/5/27	十和田	14.1	17.5	11.8	1.0	1.0	2.1		0.0	0.0	2.1	4.6	8.1	東南東									
2015/5/28	十和田	17.9	26.4	9.9	0.0	0.0	11.4		0.0	0.0	1.5	5.2	6.7	南東									
2015/5/29	十和田	17.7	23.9	11.9	0.0	0.0	12.5		0.0	0.0	2.0	5.8	8.5	東北東									
2015/5/30	十和田	17.5	23.8	12.1	0.0	0.0	8.2		0.0	0.0	1.9	5.7	8.4	東北東									
2015/5/31	十和田	18.3	24.2	11.4	1.5	0.5	8.9		0.0	0.0	4.1	9.7	14.8	西									
2015/6/1	十和田	19.3	29.2	10.7	0.0	0.0	14.0		0.0	0.0	2.0	6.2	10.9	南南西									
2015/6/2	十和田	20.8	28.4	10.6	0.0	0.0	9.2		0.0	0.0	2.7	7.6	13.6	西南西									
2015/6/3	十和田	18.0	22.6	13.0	0.0	0.0	2.3		0.0	0.0	2.3	7.8	14.7	西南西									
2015/6/4	十和田	14.6	18.7	11.3	0.0	0.0	2.8		0.0	0.0	5.0	9.4	16.3	西南西									
2015/6/5	十和田	17.6	24.7	11.8	0.0	0.0	8.8		0.0	0.0	3.8	8.1	14.0	西南西									
2015/6/6	十和田	11.9	15.7	7.1	0.0	0.0	4.8		0.0	0.0	2.0	4.6	6.6	東北東									
2015/6/7	十和田	14.1	20.4	5.0	0.0	0.0	13.2		0.0	0.0	1.7	4.9	8.1	東									
2015/6/8	十和田	16.3	22.5	8.5	0.0	0.0	11.1		0.0	0.0	1.9	5.0	8.4	東北東									
2015/6/9	十和田	16.0	19.5	12.8	6.5	0.5	0.0		0.0	0.0	2.6	4.6	9.4	東									
2015/6/10	十和田	18.6	25.5	12.7	1.0	0.5	11.9		0.0	0.0	3.1	7.0	12.6	西南西									
2015/6/11	十和田	18.5	25.9	13.2	0.0	0.0	11.0		0.0	0.0	2.1	5.9	8.4	東									
2015/6/12	十和田	15.5	17.9	12.5	6.5	2.0	0.0		0.0	0.0	1.8	5.2	7.7	東北東									
2015/6/13	十和田	19.6	24.8	15.4	1.0	1.0	7.8		0.0	0.0	2.5	6.4	11.5	西南西									
2015/6/14	十和田	16.7	21.7	13.7	0.0	0.0	2.7		0.0	0.0	1.2	4.4	6.1	東北東									
2015/6/15	十和田	19.1	27.3	14.8	0.0	0.0	5.7		0.0	0.0	1.8	5.6	10.3	東北東									
2015/6/16	十和田	17.2	21.9	14.7	0.0	0.0	6.8		0.0	0.0	1.9	4.4	7.8	東北東									
2015/6/17	十和田	16.1	18.0	14.9	0.0	0.0	0.0		0.0	0.0	1.5	3.3	4.3	北東									
2015/6/18	十和田	18.0	22.4	14.3	0.0	0.0	6.8		0.0	0.0	2.8	6.6	9.9	東北東									
2015/6/19	十和田	18.6	25.0	11.6	0.0	0.0	9.1		0.0	0.0	2.1	5.2	8.7	北北西									
2015/6/20	十和田	18.4	23.6	14.6	0.0	0.0	7.3		0.0	0.0	1.8	4.6	8.3	北									
2015/6/21	十和田	17.7	23.8	12.4	0.0	0.0	9.3		0.0	0.0	1.8	4.8	8.3	東北東									
2015/6/22	十和田	19.8	26.1	14.7	0.0	0.0	10.6		0.0	0.0	1.7	4.7	7.3	東北東									
2015/6/23	十和田	19.0	24.3	13.7	0.0	0.0	6.4		0.0	0.0	1.6	4.4	7.3	北東									
2015/6/24	十和田	17.9	21.4	16.1	0.0	0.0	0.1		0.0	0.0	1.5	3.5	6.0	東									
2015/6/25	十和田	18.6	22.9	16.2	0.0	0.0	1.8		0.0	0.0	1.9	4.3	6.9	東北東									
2015/6/26	十和田	18.6	21.6	17.0	0.0	0.0	1.3		0.0	0.0	1.9	4.2	6.7	東北東									
2015/6/27	十和田	13.5	17.6	11.9	88.5	2.5	0.0		0.0	0.0	5.8	8.8	17.2	東									
2015/6/28	十和田	10.1	11.9	9.2	33.5	1.5	0.0		0.0	0.0	2.7	5.3	9.4	北東									
2015/6/29	十和田	15.6	21.8	9.8	0.0	0.0	6.1		0.0	0.0	1.5	3.8	5.8	南西									
2015/6/30	十和田	17.9	24.6	11.0	0.0	0.0	1.0		0.0	0.0	1.1	3.9	6.1	南									
2015/7/1	十和田	17.3	21.0	15.7	2.0	0.5	0.0		0.0	0.0	1.3	3.6	5.9	東北東									
2015/7/2	十和田	21.9	27.5	15.0	0.0	0.0	7.7		0.0	0.0	2.2	5.5	10.3	西南西									
2015/7/3	十和田	20.3	26.9	14.3	0.0	0.0	9.6		0.0	0.0	2.3	5.2	8.5	南西									
2015/7/4	十和田	16.9	21.1	13.9	4.5	3.5	1.1		0.0	0.0	1.2	3.1	4.5	東北東									
2015/7/5	十和田	17.6	23.1	11.7	0.0	0.0	11.5		0.0	0.0	1.6	4.9	7.9	東北東									
2015/7/6	十和田	16.2	20.9	11.6	0.0	0.0	6.6		0.0	0.0	1.4	4.1	6.7	東									
2015/7/7	十和田	21.4	29.4	11.7	0.0	0.0	14.0		0.0	0.0	2.9	6.4	10.8	西南西									
2015/7/8	十和田	16.2	20.0	14.9	0.0	0.0	0.1		0.0	0.0	1.7	3.5	5.5	東									
2015/7/9	十和田	17.6	21.8	14.6	0.0	0.0	1.8		0.0	0.0	1.4	4.1	6.6	北北東									
2015/7/10	十和田	19.2	27.2	13.6	0.0	0.0	10.6		0.0	0.0	1.3	3.8	6.9	東北東									
2015/7/11	十和田	21.1	30.3	11.7	0.0	0.0	14.0		0.0	0.0	1.3	4.5	6.3	東									
2015/7/12	十和田	23.9	33.2	14.1	0.0	0.0	13.4		0.0	0.0	1.4	4.3	6.9	南西									
2015/7/13	十和田	25.4	33.2	15.6	0.0	0.0	6.9		0.0	0.0	1.1	3.2	5.2	東南東									
2015/7/14	十和田	26.7	31.2	23.6	0.0	0.0	5.1		0.0	0.0	3.1	7.0	14.9	南西									
2015/7/15	十和田	23.9	32.3	18.8	0.0	0.0	10.4		0.0	0.0	3.0	6.2	11.5	南西									
2015/7/16	十和田	16.7	18.9	15.6	0.0	0.0	0.0		0.0	0.0	1.8	3.3	4.5	東北東									
2015/7/17	十和田	17.0	19.0	15.2	0.5	0.5	0.0		0.0	0.0	1.6	3.1	5.2	東南東									
2015/7/18	十和田	19.0	23.4	17.1	10.0	2.5	0.4		0.0	0.0	1.2	3.0	4.8	東									
2015/7/19	十和田	19.8	22.7	18.2	0.5	0.5	0.0		0.0	0.0	1.1	2.9	3.7	東									
2015/7/20	十和田	21.3	25.5	19.2	0.0	0.0	1.7		0.0	0.0	1.2	4.1	6.8	東北東									
2015/7/21	十和田	23.1	28.1	20.1	0.5	0.5	4.3		0.0	0.0	1.3	4.4	6.2	東									
2015/7/22	十和田	26.4	34.3	19.7	0.0	0.0	8.8		0.0	0.0	2.2	4.9	10.3	南西									
2015/7/23	十和田	24.2	26.9	22.4	14.5	2.5	0.2		0.0	0.0	0.9	2.8	4.4	南西									
2015/7/24	十和田	23.8	28.8	21.4	2.0	0.5	2.3		0.0	0.0	1.2	3.8	6.1	東南東									
2015/7/25	十和田	24.6	29.6	21.9	27.5	4.0	1.5		0.0	0.0	1.7	5.9	11.1	南西									
2015/7/26	十和田	25.4	29.7	21.5	0.0	0.0	1.5		0.0	0.0	2.1	7.0	11.9	西南西									
2015/7/27	十和田	26.4	31.2	22.7	0.0	0.0	8.4		0.0	0.0	1.8	4.2	7.6	南西									
2015/7/28	十和田	23.3	25.6	21.8	18.0	4.0	0.3		0.0	0.0	1.2	3.2	5.2	東									
2015/7/29	十和田	24.4	29.9	21.7	0.5	0.5	7.3		0.0	0.0	1.2	4.7	6.8	東北東									
2015/7/30	十和田	25.1	29.8	21.3	0.0	0.0	10.4		0.0	0.0	1.4	4.4	6.9	東									
2015/7/31	十和田	26.8	32.5	21.5	0.0	0.0	8.6		0.0	0.0	2.0	5.7	9.5	西南西									
2015/8/1	十和田	27.7	32.0	22.8	0.0	0.0	12.3		0.0	0.0	2.9	6.9	12.0	西南西									
2015/8/2	十和田	22.2	26.1	20.8	24.0	9.0	1.5		0.0	0.0	1.4	4.4	8.3	東									
2015/8/3	十和田	23.7	27.0	21.0	0.0	0.0	4.0		0.0	0.0	1.2	3.0	5.2	東									
2015/8/4	十和田	26.6	32.5	20.0	0.0	0.0	12.0		0.0	0.0	1.8	5.0	10.3	西南西									
2015/8/5	十和田	27.9	34.4	20.1	0.0	0.0	13.4		0.0	0.0	2.9	7.1	13.6	西南西									
2015/8/6	十和田	26.8	33.4	20.3	0.0	0.0	11.5		0.0	0.0	1.6	4.5	7.2	東									
2015/8/7	十和田	21.5	25.3	19.2	1.0	0.5	0.3		0.0	0.0	1.7	4.3	5.9	東北東									
2015/8/8	十和田	20.9	25.3	17.9	1.5	0.5	1.3		0.0	0.0	2.1	4.6	8.2	東									
2015/8/9	十和田	23.6	30.1	17.1	0.0	0.0	9.6		0.0	0.0	1.6	4.6	6.4	東北東									
2015/8/10	十和田	25.5	31.5	21.3	0.0	0.0	3.5		0.0	0.0	1.4	4.3	6.3	西南西									
2015/8/11	十和田	23.9	30.1	20.7	0.5	0.5	4.3		0.0	0.0	1.5	4.4	8.0	北東									
2015/8/12	十和田	22.0	25.9	20.6	0.0	0.0	0.1		0.0	0.0	1.1	4.1	6.9	東北東									
2015/8/13	十和田	22.2	26.1	20.3	0.0	0.0	1.9		0.0	0.0	1.8	4.8	7.5	東北東									
